time_ns,cycle,freq_step,f_word_hex,freq_hz,wave_out,step_sync
6170,303,0,0x051eb851,999999,135,0
6190,304,0,0x051eb851,999999,143,0
6210,305,0,0x051eb851,999999,151,0
6230,306,0,0x051eb851,999999,158,0
6250,307,0,0x051eb851,999999,165,0
6270,308,0,0x051eb851,999999,171,0
6290,309,0,0x051eb851,999999,177,0
6310,310,0,0x051eb851,999999,181,0
6330,311,0,0x051eb851,999999,185,0
6350,312,0,0x051eb851,999999,188,0
6370,313,0,0x051eb851,999999,190,0
6390,314,0,0x051eb851,999999,191,0
6410,315,0,0x051eb851,999999,191,0
6430,316,0,0x051eb851,999999,190,0
6450,317,0,0x051eb851,999999,188,0
6470,318,0,0x051eb851,999999,185,0
6490,319,0,0x051eb851,999999,181,0
6510,320,0,0x051eb851,999999,177,0
6530,321,0,0x051eb851,999999,171,0
6550,322,0,0x051eb851,999999,165,0
6570,323,0,0x051eb851,999999,158,0
6590,324,0,0x051eb851,999999,151,0
6610,325,0,0x051eb851,999999,143,0
6630,326,0,0x051eb851,999999,136,0
6650,327,0,0x051eb851,999999,128,0
6670,328,0,0x051eb851,999999,120,0
6690,329,0,0x051eb851,999999,112,0
6710,330,0,0x051eb851,999999,104,0
6730,331,0,0x051eb851,999999,97,0
6750,332,0,0x051eb851,999999,90,0
6770,333,0,0x051eb851,999999,84,0
6790,334,0,0x051eb851,999999,78,0
6810,335,0,0x051eb851,999999,74,0
6830,336,0,0x051eb851,999999,70,0
6850,337,0,0x051eb851,999999,67,0
6870,338,0,0x051eb851,999999,65,0
6890,339,0,0x051eb851,999999,64,0
6910,340,0,0x051eb851,999999,64,0
6930,341,0,0x051eb851,999999,65,0
6950,342,0,0x051eb851,999999,67,0
6970,343,0,0x051eb851,999999,70,0
6990,344,0,0x051eb851,999999,74,0
7010,345,0,0x051eb851,999999,78,0
7030,346,0,0x051eb851,999999,84,0
7050,347,0,0x051eb851,999999,90,0
7070,348,0,0x051eb851,999999,97,0
7090,349,0,0x051eb851,999999,104,0
7110,350,0,0x051eb851,999999,112,0
7130,351,0,0x051eb851,999999,119,0
7150,352,0,0x051eb851,999999,127,0
7170,353,0,0x051eb851,999999,135,0
7190,354,0,0x051eb851,999999,143,0
7210,355,0,0x051eb851,999999,151,0
7230,356,0,0x051eb851,999999,158,0
7250,357,0,0x051eb851,999999,165,0
7270,358,0,0x051eb851,999999,171,0
7290,359,0,0x051eb851,999999,177,0
7310,360,0,0x051eb851,999999,181,0
7330,361,0,0x051eb851,999999,185,0
7350,362,0,0x051eb851,999999,188,0
7370,363,0,0x051eb851,999999,190,0
7390,364,0,0x051eb851,999999,191,0
7410,365,0,0x051eb851,999999,191,0
7430,366,0,0x051eb851,999999,190,0
7450,367,0,0x051eb851,999999,188,0
7470,368,0,0x051eb851,999999,185,0
7490,369,0,0x051eb851,999999,181,0
7510,370,0,0x051eb851,999999,177,0
7530,371,0,0x051eb851,999999,171,0
7550,372,0,0x051eb851,999999,165,0
7570,373,0,0x051eb851,999999,158,0
7590,374,0,0x051eb851,999999,151,0
7610,375,0,0x051eb851,999999,143,0
7630,376,0,0x051eb851,999999,136,0
7650,377,0,0x051eb851,999999,128,0
7670,378,0,0x051eb851,999999,120,0
7690,379,0,0x051eb851,999999,112,0
7710,380,0,0x051eb851,999999,104,0
7730,381,0,0x051eb851,999999,97,0
7750,382,0,0x051eb851,999999,90,0
7770,383,0,0x051eb851,999999,84,0
7790,384,0,0x051eb851,999999,78,0
7810,385,0,0x051eb851,999999,74,0
7830,386,0,0x051eb851,999999,70,0
7850,387,0,0x051eb851,999999,67,0
7870,388,0,0x051eb851,999999,65,0
7890,389,0,0x051eb851,999999,64,0
7910,390,0,0x051eb851,999999,64,0
7930,391,0,0x051eb851,999999,65,0
7950,392,0,0x051eb851,999999,67,0
7970,393,0,0x051eb851,999999,70,0
7990,394,0,0x051eb851,999999,74,0
8010,395,0,0x051eb851,999999,78,0
8030,396,0,0x051eb851,999999,84,0
